1011,"Deurali,Dhorpatan","Deurali,Dhorpatan is a well-known location, located at FXF3+PG, naisaii 33300, naepaala. It is known for being a  hike. It offers a variety of experiences for visitors."
1012,Deuti art,"Deuti art is a well-known location, located at HJW8+XWV, waiiraenadaranagara 21700, naepaala. It is known for being a  art_gallery. It offers a variety of experiences for visitors."
1013,Deuti than,"Deuti than is a well-known location, located at VJCX+V8, raawatakaota 21600, naepaala. It is known for being a  historic_site. It offers a variety of experiences for visitors."
1014,Deutibajai temple,"Deutibajai temple is a well-known location, located at JF25+J9Q, Kushadevi -1, 45200, naepaala. It offers a variety of experiences for visitors."
1015,Dev Aquarium,"Dev Aquarium is a well-known location, located at H02, chanadaraagairaii 44600, naepaala. It is known for being a  aquarium. It offers a variety of experiences for visitors."
1016,Devachuli lower view tower and a Devachuli temple,"Devachuli lower view tower and a Devachuli temple is a well-known location, located at Q57G+FQR, daewachaulaii 33000, naepaala. It is known for being a  monument. It offers a variety of experiences for visitors."
1017,Devchuli Hill (1938 Meter),"Devchuli Hill (1938 Meter) is a well-known location, located at Q59H+2VQ, upalalao arakhalae 33000, naepaala. It is known for being a  historic_site. It offers a variety of experiences for visitors."
1018,Devchuli dada,"Devchuli dada is a well-known location, located at Q59H+3V9, upalalao arakhalae 33000, naepaala. It is known for being a  tourist_attraction. It offers a variety of experiences for visitors."
1019,Devdaha Farmers Park,"Devdaha Farmers Park is a well-known location, located at JHVR+VV5, daewadaha nagarapaalaikaa 32900, naepaala. It is known for being a  park. It offers a variety of experiences for visitors."
1020,Devdhari stadium SUNDARPUR chakarghatta 4,"Devdhari stadium SUNDARPUR chakarghatta 4 is a well-known location, located at VFHR+VQP, saunadarapaura 45800, naepaala. It is known for being a  park. It offers a variety of experiences for visitors."
1021,Devghat Dham,"Religious Site TRIBENI Devghat Dham is the most sacred as well as religious place located in the central part of Nepal. It is located at the tricentre of Tanahun, Nawalparasi and Chitwan as well as at the junction of Gandaki, Lumbini and Narayani Zones. It has an area of 54.34 square kilometers with natural, religious, archaelogical, historical as well as cultural importance. This is the place where the great rivers Kaligandaki and Trishuli meet together. The junction point of these great rivers is known as Devghat Beni."
1023,Devisthan,"Devisthan is a well-known location, located at MJC5+F9X, paaà¤chakhaala 45212, naepaala. It is known for being a  hindu_temple. It offers a variety of experiences for visitors."
1024,Devisthan yekasalla,"Devisthan yekasalla is a well-known location, located at Malika 5, naepaala. It is known for being a  trek. It offers a variety of experiences for visitors."
1025,"Devisthan,(Place of Hindhu Godess Bhagwati) Dhulikhel","Devisthan,(Place of Hindhu Godess Bhagwati) Dhulikhel is a well-known location, located at JH69+5G3, dhaulaikhaela 45200, naepaala. It is known for being a  hindu_temple. It offers a variety of experiences for visitors."
1026,Dewahi Gonahi Municipality,"Dewahi Gonahi Municipality is a well-known location, located at W7J7+WF4, paraemamapaura gaunaahaii 44500, naepaala. It is known for being a  trek. It offers a variety of experiences for visitors."
1027,Dewal (Ancient history ),"Dewal (Ancient history ) is a well-known location, located at 8JHV+5XJ, 10300, naepaala. It is known for being a  museum. It offers a variety of experiences for visitors."
1028,Dewangunj Biratnagar tempo station,"Dewangunj Biratnagar tempo station is a well-known location, located at C4XQ+Q95, daewaanaganyaja, naepaala. It is known for being a  park. It offers a variety of experiences for visitors."
1029,Dewariya,"Dewariya is a well-known location, located at PJ59+93R, Jungle Rd, dhanagadhaii 10900, naepaala. It is known for being a  historic_site. It offers a variety of experiences for visitors."
1031,"Dhada Gauu Masta Than (Temple) village ,Jajarkot","Dhada Gauu Masta Than (Temple) village ,Jajarkot is a well-known location, located at RWVG+262, daha 21500, naepaala. It is known for being a  hindu_temple. It offers a variety of experiences for visitors."
1032,Dhade Khola,"Dhade Khola is a well-known location, located at M5W7+6Q, lamakaii chauhaa 10900, naepaala. It is known for being a  picnic. It offers a variety of experiences for visitors."
1033,Dhade Khola Picnic Area Rest Camp,"Dhade Khola Picnic Area Rest Camp is a well-known location, located at M5V6+C7, lamakaii chauhaa 10900, naepaala. It is known for being a  picnic. It offers a variety of experiences for visitors."
1034,Dhading Gajuri Rakshing,"Dhading Gajuri Rakshing is a well-known location, located at QV74+998, gajauraii 45100, naepaala. It is known for being a  tourist_attraction. It offers a variety of experiences for visitors."
1035,Dhading masjid,"Dhading masjid is a well-known location, located at WV6R+QWQ, nailakanatha 45100, naepaala. It is known for being a  mosque. It offers a variety of experiences for visitors."
1036,Dhading salyantar galachhainadaila,"Dhading salyantar galachhainadaila is a well-known location, located at XQJV+V55, salayaanataara, naepaala. It is known for being a  park. It offers a variety of experiences for visitors."
1037,Dhading thakre,"Dhading thakre is a well-known location, located at P4Q2+GFH, thaakarae 45100, naepaala. It is known for being a  park. It offers a variety of experiences for visitors."
1038,Dhadkhola,"Dhadkhola is a well-known location, located at Harraboat Lamjung, Tarkughat 33600, Nepal. It is known for being a park, point_of_interest, establishment. It offers a variety of experiences for visitors."
1039,Dhaitar Outdoor Gym,"Dhaitar Outdoor Gym is a well-known location, located at PJ62+QF, mahaadaewasathaana manadana 45200, naepaala. It is known for being a  amusement_park. It offers a variety of experiences for visitors."
1040,Dhakeri Picnic Spot,"Dhakeri Picnic Spot is a well-known location, located at 4QW8+XRQ, mahaenadara raajamaaraga, mahaadaewapauraii 21900, naepaala. It is known for being a  picnic. It offers a variety of experiences for visitors."
1041,Dhaku dhaakau,"Dhaku dhaakau is a well-known location, located at 38CJ+J5F, 10700, naepaala. It is known for being a  hike. It offers a variety of experiences for visitors."
1042,Dhalachhen,"Dhalachhen is a well-known location, located at M89H+JMJ, Tyagal - Lalitpur Rd, Lalitpur 44600, Nepal. It is known for being a museum, point_of_interest, establishment. It offers a variety of experiences for visitors."
1043,Dhalkebar Mashiha Church,"Dhalkebar Mashiha Church is a well-known location, located at WXH7+X5X, mahaenadara raajamaaraga, maithailaa 45600, naepaala. It is known for being a  church. It offers a variety of experiences for visitors."
1044,Dhalpuro temple dhalapaurao manadaira Mangal,"Dhalpuro temple dhalapaurao manadaira Mangal is a well-known location, located at 01, hapkot, naepaala. It is known for being a  hindu_temple. It offers a variety of experiences for visitors."
1045,"Dhamena village, Bajhang","Dhamena village, Bajhang is a well-known location, located at J756+PPQ, Talkot 10500, naepaala. It is known for being a  tourist_attraction. It offers a variety of experiences for visitors."
1046,Dhami house â„¢,"Dhami house â„¢ is a well-known location, located at P776+CR7, naagaarajauna 44600, naepaala. It is known for being a  hindu_temple. It offers a variety of experiences for visitors."
