ID,Name,Description,Province,Tags
1,Chapat Ganesh Mandir,chapat ganesh temple is ganesh temple located at chapatbagmati ganesh god is considered to possess the power of removing obstacle curing disease helping in completing difficult task he is worshiped before doing any special task for success and easily coms over endeavor tuesday is the special day to visit the chapat ganesh temple and beside this it is saturday people don ’ t forget to bring god favourite offering like radish ladoos and sesame seed ball,Bagmati Province,hindu temple pilgrimage
3,Sikali Mandir,religious site sikali temple lie in the southern part of kathmandu valley at an approximate distance of 10 km the temple is located in an isolated place outside of the main settlement but the surrounding is heavenly sikali mai temple is a huge threestorey temple where goddess rudrayani is worshipped and is considered a the protector of the local and locality it is also believed that once sikhi buddha had come and taught dhamma for local,Bagmati Province,hindu temple cultural
5,21st Century Art Gallery,21st century art gallery located in kathmandu 44600 nepal is a renowned art gallery and museum known for it exceptional collection of artwork and the variety of experience it offer to visitor this familyrun establishment managed by two talented brother creates a welcoming atmosphere for art enthusiast and tourist alike the gallery is celebrated for it beautiful and versatile artwork including stunning painting of iconic nepali landscape like annapurna crafted by skilled artist manoj pramod and gunjan visitor often praise the professionalism and care with which purchased artwork are handled and packaged ensuring safe transport to international destination situated in the vibrant thamel area it is a mustvisit destination for anyone exploring kathmandu offering a glimpse into the finest artistry the city ha to offer,Bagmati Province,artgallery museum cultural
6,3D Art World - Interactive Museum,the 3d fun art museum is a unique and interactive attraction that blend art imagination and fun designed to engage visitor of all age the museum feature an array of 3d painting and optical illusion that create the illusion of depth and movement unlike traditional art gallery the 3d fun art museum invite you to step into the artwork becoming an integral part of the scene whether you ’ re dodging a dinosaur walking a tightrope or diving into an underwater world the museum offer endless opportunity for creative photography and playful interaction,Bagmati Province,museum
7,Nyatapola Temple,nyatapola temple located in bhaktapur nepal is a magnificent fivestory pagodastyle temple and one of the tallest and most iconic temple in the country built in 1702 by king bhupatindra malla it is dedicated to siddhi lakshmi the tantric goddess embodying strength and protection the temple name nyatapola translates to five story representing it towering structure which stand on a massive fivetiered plinth each tier is guarded by pair of intricately carved stone figure starting with wrestler and moving up to elephant lion griffin and finally goddess symbolizing increasing power nyatapola temple showcase exceptional newar craftsmanship and is a testament to the architectural and cultural heritage of nepal it resilience having survived multiple earthquake make it a symbol of durability and artistic brilliance in the kathmandu valley,Bagmati Province,hindu historical cultural
8,50 Kilo,50 kilo in nepal typically refers to a location in the kavrepalanchok district along the arniko highway this area named due to it distance of approximately 50 kilometer from kathmandu serf a a significant waypoint on the route connecting kathmandu to the eastern part of nepal including sindhupalchok and dolakha known for it picturesque surroundings and access to lush landscape 50 kilo is a spot where traveler often stop for refreshment during long journey the area reflects nepal typical rural charm surrounded by terraced field and hill offering a glimpse into the country natural beauty and traditional way of life,Bagmati Province,natural beauty landmark
10,55-Window Palace,the 55window palace also known a pachpanna jhyale durbar is an iconic landmark located in bhaktapur nepal constructed in the 15th century during the reign of king yaksha malla and later renovated by king bhupatindra malla in the 17th century the palace is a masterpiece of newar architecture true to it name it feature 55 intricately carved wooden window each showcasing the exquisite craftsmanship of the era the palace is part of the bhaktapur durbar square a unesco world heritage site and served a the royal residence of the malla king it grandeur is enhanced by the ornate golden gate or sun dhoka at the entrance which is adorned with detailed relief of hindu deity today the 55window palace stand a a symbol of nepal rich cultural and architectural heritage attracting visitor from around the world to admire it timeless beauty,Bagmati Province,historical palace
14,Adventure Art Gallery,adventure art gallery is an art gallery that likely combine the theme of adventure and exploration with the artistic expression of local and international artist located in nepal a country renowned for it majestic mountain and diverse landscape adventure art gallery may feature artwork that capture the spirit of adventure nature and culture the gallery could showcase a range of art form including painting photography sculpture and other medium that reflect the beauty and challenge of the natural world particularly the rugged terrain of the himalaya a well a the rich cultural heritage of nepal in addition to exhibiting art adventure art gallery may also serve a a space for cultural exchange workshop and event where artist and visitor can engage in discussion on creativity and exploration the gallery connection to the theme of adventure may inspire art that push boundary challenge perspective and celebrates the thrill of discovery both in the physical world and the world of artistic expression,Bagmati Province,artgallery museum
15,Agleswer Mahadev Temple,agleswer mahadev is a hindu temple in nepal dedicated to lord shiva also known a mahadev the temple is significant in the local community where people visit to worship and seek blessing the name agleswer is believed to refer to the area where the temple is located while mahadev refers to lord shiva who is a central deity in hinduism symbolizing destruction and renewal the temple is especially active during hindu festival like maha shivaratri when many devotee come to offer prayer and ritual it is a peaceful place where people come for spiritual reflection and connection to their faith,Bagmati Province,hindutemplepilgrimage
17,AS Handicrafts & Art Gallery,a handicraft art gallery is a place in nepal that showcase a wide variety of traditional and contemporary nepali handicraft and artwork the gallery offer visitor a chance to explore the rich cultural heritage of nepal through item such a handcarved woodwork pottery textile and intricate painting it also feature various form of local art including painting and sculpture that reflect nepal diverse tradition and natural beauty the gallery is not only a space for showcasing these work but also serf a a venue for artist to present their creation contributing to the preservation and promotion of nepali craftsmanship visitor can purchase unique piece of art and handicraft making it a popular spot for both local and tourist looking to take home a piece of nepali culture,Bagmati Province,artgalleryculturalmuseum
