place_name,reviewer_name,reviewer_link,reviewer_image,rating,date,text,photos,likes_count
Garden of Dreams,Trishala Jain,https://www.google.com/maps/contrib/114131442588505850337/reviews?hl=en-GB,https://lh3.googleusercontent.com/a/ACg8ocIPhTJOKFmAuWCxmKYYHUSEG26rb88b6BMpu4YASqqyWx68YA=w36-h36-p-rp-mo-ba6-br100,4,3 months ago,"Beautiful Austrian garden in the heart of Kathmandu.
Very crowded of course because of the number of people that come here for photoshoots.
Otherwise a very quiet, well maintained, clean and green garden. There is a cafe inside that is mostly empty. They have a tiny art gallery of sorts. The bar seemed to be permanently closed but would have been phenomenal if it was functional.
Every corner of the garden is beautiful, from the gates to the vases to the flowers to the lotus ponds, the canopy to the fountains.

Definitely a must visit if you're in Kathmandu.","https://lh5.googleusercontent.com/p/AF1QipPVFDvddRoZ_RHcJwqeajXR3qJpUb8j5wF8ArqU=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipNSu0bIYzt6DZ7Yk8Kq4CkXh_U-YhT_HngTf1pP=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipPR_Kljvf6VpluEgzJ-7Uj8f0pwwm4L9IVyXIQH=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipOxmR_w5ycl5RxqJ3MacUNoFsHlEvaN0RQB5Ahi=w300-h225-p-k-no",0
Garden of Dreams,Rifat Zabeen,https://www.google.com/maps/contrib/111952411343878451872/reviews?hl=en-GB,https://lh3.googleusercontent.com/a-/ALV-UjWG-vainqPlXJpyWCFWz1c-pPfb4NxySWYMG-JcaqU0indtK6Iw=w36-h36-p-rp-mo-ba2-br100,5,2 weeks ago,"A beautiful and serene garden. Loads to explore and there is eateries inside the compound. Great for photos, relaxing and enjoying nature.","https://lh5.googleusercontent.com/p/AF1QipMEd_lyTcvKvsnkeP9ZgnOXqAcRb4-eUl5WwlCY=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipMwKbmiz1bRcEYn4i2s_VThMtWnmpv58cadqCzn=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipM_Hx5S0b73Q1B5fsCAMyqJEBZRawQr-L92Pu7D=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipO8Z7ypfkbsHcxfghkJYO2NBa4D4rnfI5sfNfcI=w300-h225-p-k-no",0
Garden of Dreams,upahaar limbu,https://www.google.com/maps/contrib/104540165637851873758/reviews?hl=en-GB,https://lh3.googleusercontent.com/a-/ALV-UjX0w4cxgwtFTF8XoR-Voh1VkYKhPMAq3zwuQDUBpxG4zqDLZB9j=w36-h36-p-rp-mo-ba4-br100,4,3 months ago,"The Garden of Dreams, located in Kathmandu, Nepal, is a stunning historical palace and garden complex that embodies the elegance of early 20th-century architecture and design.
As you enter, you're greeted by a beautifully landscaped garden that features meticulously maintained greenery, fragrant flowers, and tranquil ponds teeming with lotus blooms. The ambiance is incredibly inviting, making it an ideal escape from the hustle and bustle of the city. The pathways are lined with intricately designed pavilions and classical structures, showcasing a harmonious blend of European and Nepalese architectural styles. Each corner of the garden feels like a piece of art, evoking a sense of tranquility and peace.
This aesthetic beauty, combined with its rich history, makes the garden a perfect spot for leisurely strolls, contemplative moments, or even a quiet gathering with friends . Highly recommended for anyone visiting Kathmandu!","https://lh5.googleusercontent.com/p/AF1QipOuzFhHAN6ykwJN9XyGc7njyH6VxTDYcntbb8xD=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipPOYo_OT1Q8qsrvSWUrQZmRhUfxNRZXHfp3f6dW=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipPU2d2OfIFP6ccM6r5OhtekM8mI4RrT4FpJwtM2=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipO-JJEbM0NE0iPffdMyV1ojJaMEZjfQVWy5j7sD=w300-h225-p-k-no",0
Garden of Dreams,Tejinder Singh,https://www.google.com/maps/contrib/103910883599568891908/reviews?hl=en-GB,https://lh3.googleusercontent.com/a-/ALV-UjUlB0BiyVF2aWvKVXk9TBjotf5I4U7ARjymkX033mF52lrRnYqezQ=w36-h36-p-rp-mo-ba6-br100,5,4 weeks ago,"The Garden of Dreams, located in the heart of Kathmandu, Nepal, is a historic neo-classical garden that provides a serene escape from the bustling city. Here's a detailed review:

Highlights

1. Architecture & Design:

Built in the early 1920s, the garden showcases European-inspired design with lush landscaping, fountains, pergolas, and pavilions.

The six pavilions symbolize the six seasons of Nepal, adding cultural significance to the space.

2. Ambience:

Tranquil and well-maintained, it’s perfect for relaxation, reading, or simply enjoying nature.

The blend of history and greenery makes it ideal for both tourists and locals.

3. Amenities:

A cozy café and restaurant serve local and international cuisines.

Benches and open spaces make it family and picnic-friendly.

Informative plaques provide historical context.

4. Accessibility:

Located near Thamel, it’s easy to reach.

Entry fee is reasonable, but slightly higher for foreign visitors.

Pros:

Peaceful atmosphere amidst urban chaos.

Great for photography and unwinding.

Clean and well-maintained facilities.

Cons:

Small compared to some other major gardens.

Can get crowded on weekends and holidays.

Entry fees might seem high to budget travelers.

Ideal for:

Couples, solo travelers, and history enthusiasts.

Those seeking a break from Kathmandu's busy streets.

Overall: The Garden of Dreams is a must-visit for anyone looking to enjoy a slice of history and tranquility in Kathmandu. It offers a refreshing retreat and is perfect for spending a leisurely afternoon.","https://lh5.googleusercontent.com/p/AF1QipOIKeJxIxep2nftma_EaaBNT9fBPcsu8cNMZ27T=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipOaASEmWs_ViOSRtT9aUsrybv09or86LG1E9Ahp=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipOa80BtQVMdyu8CfkiGW5EKmc2vBwWPVXwnLL3C=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipOoj7pXlfedlomMJUjyw9shIdlw8GxEN7J7G6Bz=w300-h225-p-k-no",0
Garden of Dreams,Akash Kumar,https://www.google.com/maps/contrib/107445046318638169063/reviews?hl=en-GB,https://lh3.googleusercontent.com/a-/ALV-UjVwJC28tMCX76kMrFluslLGto2rmlfcBUATwtW7mJqhvpwitXWdtA=w36-h36-p-rp-mo-ba7-br100,4,a month ago,A very quiet and pleasant place to be in. Deshbhakti news of a very beautiful and quiet you can really set hair for a very long time. How 2 - 3 hours will pass and you will never ever realise it. You can give it a shot if you are looking to just relax and sit around and look at the beauty of nature and observe the surrounding.,"https://lh5.googleusercontent.com/p/AF1QipNTz6wJh4Mjlv67fh3mZtUnXlfyCjpu-nYJT1CX=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipMYkQtIhgbXaqwMkBAc1LJQojVZlwMl99MDWmzV=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipMqx5sZR83-PM-JMBJ94iBbQH3UWlFNNil_kEM5=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipORhqjVQjNFIvzPCo5sfN5_Wrmz9Qtmb7ajCRhB=w300-h225-p-k-no",0
Garden of Dreams,Moises Lemos,https://www.google.com/maps/contrib/108470123310522168554/reviews?hl=en-GB,https://lh3.googleusercontent.com/a/ACg8ocIuHN95NZ5Bmvhrh87Ql56G0wP0G1NJH2kl8YgAnlxnmeJ9eX4=w36-h36-p-rp-mo-br100,5,a month ago,One of the few calm spaces in Kathmandu!. The garden is not particularly big but there are different places where you can sit and relax. Food was delicious and the staff was very attentive as well.,https://lh5.googleusercontent.com/p/AF1QipPecgUcqFUzsD-UkJ5Ob0FWbn3TWEtz1qgIjEXl=w600-h450-p-k-no,0
Garden of Dreams,Gary Brazel,https://www.google.com/maps/contrib/107869450704479614215/reviews?hl=en-GB,https://lh3.googleusercontent.com/a-/ALV-UjWhBRAkDVrSF63xH6aBqWwFM6mMqtggqvNsMg4QMzT5Pz9CDt_Z=w36-h36-p-rp-mo-ba6-br100,4,a month ago,"The Garden of Dreams स्वप्न बगैँचा is a very small garden, but if you are looking for a respite from the Katmandu traffic and hustle and bustle this can be recommended.
It also is a nice place to eat or drink at the cafe or restaurant in it.
Be careful when you pay to count your change as the woman shorted me 200 rupee. Admission is 400 rupees ($3 USD) or 200 rupees for seniors.","https://lh5.googleusercontent.com/p/AF1QipOGA5G8aFj7oNy-cBHp0xWtZCSXWPrpTNaGbMxR=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipONxyvevzzVsuD0mmk7tN33UE0xZetcoLtwrAqM=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipP_PsGzLopC0cjMD1uWP-fBxMRHfEuy4KoPtEJF=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipP6ZcnxcjIcUVO-06V3w84mP3vUbSkNyEQWAKQn=w300-h225-p-k-no",0
Garden of Dreams,Asif Khan,https://www.google.com/maps/contrib/100882743444943769717/reviews?hl=en-GB,https://lh3.googleusercontent.com/a-/ALV-UjWgMNO9njZlt03RoJQgcfFgFV6dgxPW-7aNjdOW0ebyD7giup_PzQ=w36-h36-p-rp-mo-ba3-br100,5,5 months ago,"Garden of Dreams is an oasis of tranquility in the bustling city. This beautifully landscaped garden offers a serene escape, with its lush greenery, charming fountains, and meticulously maintained flower beds. Visitors can enjoy a leisurely stroll along the winding pathways, find a quiet bench to read a book, or simply bask in the peaceful surroundings.","https://lh5.googleusercontent.com/p/AF1QipOXkRy9xJmiHHGiLZefiA8GDdUZdkR2WxdMME4W=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipNQnRNUfQKZdcIVevF_VTdsIMYDvZMM4fcRag_s=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipNfjIR1TdWHO1O1IQrnHoLW__5VSHPATsZ3YxiX=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipNwHY2Sqc0A5BO1VkI8OTRwlTiRcX0PcieEebNB=w300-h225-p-k-no",0
Swayambhu Buddha Park - Ring Road,Parvathi Rk,https://www.google.com/maps/contrib/110616496636214279094/reviews?hl=en-GB,https://lh3.googleusercontent.com/a-/ALV-UjXvvamdxbLmp8-cpI_Ri6wBshkJN6SjNk238eMzjrcVX9hEa0ac=w36-h36-p-rp-mo-ba4-br100,5,2 weeks ago,one of the holiest Buddhist stupas in nepal 🇳🇵! I really like the peaceful atmosphere.Im a malayali so I have to connect the place with our evergreen best movie”Yodha”. …,"https://lh5.googleusercontent.com/p/AF1QipNrBI28UXO2UWzzA2haQNPsgaC1ZiqI2RsIq1kD=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipP4KzQhe7oChOpLadlXLMQz5oZN4Y_q3h4utiLU=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipO7DdmgEordi0LMu95OSjktYVEHPyyivZz2EK9q=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipPXMqu1bnMoLNG-QCcRTs5gB8S1cDwnMCnRhitt=w300-h225-p-k-no",0
Swayambhu Buddha Park - Ring Road,puttaraju rs,https://www.google.com/maps/contrib/108601629222043289993/reviews?hl=en-GB,https://lh3.googleusercontent.com/a-/ALV-UjXjQ0u6UA859jypNLp5kApHPjl6Yj5P9LaRJ6n54KrJ5-jhg1IQxg=w36-h36-p-rp-mo-ba4-br100,4,2 months ago,"It’s a beautiful place to visit. The route is of heavy traffic. It took almost 2 hours for us to reach from Pashupatinath temple at Kathmandu. Even parking was a difficult task. Once you reach the area, you feel comfortable. Pay & use toilet is available. There is a photography shop and no restaurant for beverages. Wheelchair accessibility is not possible. There is no proper sitting area.
But overall worth visiting once","https://lh5.googleusercontent.com/p/AF1QipP06eJqGldN7GwlJXBZ_QaH3mtWyG7fXA4lgdpe=w300-h450-p-k-no, https://lh5.googleusercontent.com/p/AF1QipMbE4S-i1mteoOGil499NwWfaAM3KtUNJVQC42J=w300-h225-p-k-no, https://lh5.googleusercontent.com/p/AF1QipNMngbhX1LI2eWewppMduJfHFxevd-JKEpHThJd=w300-h225-p-k-no",0
