id,name,description
1011,"Deurali,Dhorpatan","Deurali, Dhorpatan is a small village located in the Dhorpatan Hunting Reserve of Western Nepal, at an altitude of approximately 3,000 meters. It is known for its stunning natural beauty, with panoramic views of the Annapurna and Dhaulagiri mountain ranges. The village is also a popular starting point for treks in the region, and is home to a diverse range of flora and fauna, making it a significant destination for nature lovers and adventure seekers."
1012,Deuti art,"Deuti art is a traditional Indian art form from the state of Odisha, primarily practiced by the Deutis or Daitapatis, who are the servitors of Lord Jagannath. This art is characterized by intricate scroll paintings on cloth, featuring mythological stories and scenes from the life of Lord Jagannath. The significance of Deuti art lies in its unique storytelling style, vibrant colors, and the devotion of the artisans, preserving and promoting centuries-old religious and cultural heritage."
1013,Deuti than,"Deuti than is a significant peak located in the Rolwaling Himalayan range of Nepal, standing at an elevation of 6,328 meters (20,761 feet). It is known for its unique pyramid shape and is considered a challenging climb, attracting experienced mountaineers from around the world. Deuti than is often climbed in conjunction with other peaks in the region, such as Melungtse, and offers stunning panoramic views of the surrounding mountains and valleys."
1014,Deutibajai temple,"Deutibajai Temple is an ancient Jain shrine, located in the town of Deotibba in Madhya Pradesh, India. The temple is renowned for its intricate carvings and sculptures that depict various Jain Tirthankaras, showcasing the architectural and artistic prowess of the era. Its significance lies in being a major pilgrimage site for Jains, housing the idol of Shri Parshvanath Bhagwan, the 23rd Tirthankara, and serving as a testament to the rich cultural heritage and religious beliefs of the community."
1015,Dev Aquarium,"Dev Aquarium is a unique online platform that showcases a curated collection of live coding sessions, tutorials, and workshops, enabling developers to learn and expand their skills in real-time. Its key features include interactive streaming, expert-led content, and the ability to engage with a vibrant community of learners and instructors. Dev Aquarium's significance lies in its innovative approach to learning, fostering a more dynamic and immersive experience for developers compared to traditional static tutorials."
1016,Devachuli lower view tower and a Devachuli temple,"The Devachuli Lower View Tower is a popular vantage point located in the western part of Nepal, offering breathtaking panoramic views of the Himalayan range, including the iconic Mt. Everest, Mt. Annapurna, and Mt. Dhaulagiri. The tower is surrounded by lush green hills and terraced fields, providing a serene and tranquil environment for visitors to enjoy.

The Devachuli Temple, also known as Devachuli Mahadev Mandir, is a revered Hindu temple dedicated to Lord Shiva, located at the top of a hill in the same region. The temple is believed to be over a thousand years old and"
1017,Devchuli Hill (1938 Meter),"Devchuli Hill, standing at 1938 meters, is a significant geological feature located in the Nawalpur district of Nepal. It is known for its unique double-humped structure, making it a distinctive landmark in the region. The hill holds religious and cultural importance as it is considered a sacred site for both Hindu and Buddhist communities. Devchuli Hill is also an important archaeological site, with evidence of ancient human settlements and historical artifacts."
1018,Devchuli dada,"Devchuli Dada is a significant religious and archaeological site located in the Nawalparasi district of Nepal. This hill, standing at an elevation of 1,443 meters, is home to the ancient Devchuli Temple, dedicated to the Hindu goddess Mahadevi. The site is renowned for its unique combination of cultural, historical, and natural elements, offering panoramic views of the surrounding landscape and the Himalayas in the distance. Devchuli Dada's significance lies in its historical importance and its continued role as a place of worship and pilgrimage for both Hindus and Buddhists."
1019,Devdaha Farmers Park,"Devdaha Farmers Park, located in the Rupandehi district of Nepal, is a significant agricultural hub showcasing traditional and modern farming techniques. Spanning over 200 bighas of land, the park features various crop varieties, livestock breeds, and a museum dedicated to farming history. It serves as a platform for farmers to exchange knowledge, promote sustainable practices, and preserve Nepal's rich agricultural heritage, making it an essential destination for anyone interested in understanding the country's rural life and food production."
1020,Devdhari stadium SUNDARPUR chakarghatta 4,"Devdhari Stadium in Sundarpur Chakarghatta is a significant sports infrastructure in the region, known for its large capacity and state-of-the-art facilities. It is a multi-purpose stadium, designed to host various sports events including cricket, football, and athletics. The stadium's key features include a lush green playfield, modern floodlights, spacious seating arrangements, and advanced amenities for players and spectators, making it a hub for sports enthusiasts and a catalyst for promoting sports culture in the local community."
1021,Devghat Dham,"Devghat Dham, located at the confluence of the Kali Gandaki and Trishuli rivers in Nepal, is a revered Hindu pilgrimage site known for its natural beauty and religious significance. It is believed to be the place where the Hindu deities Lord Vishnu and Lord Shiva meditated, and the site houses several ancient temples and ashrams. Devghat Dham's spiritual aura and serene environment make it a popular destination for those seeking peace, spiritual enlightenment, and the blessings of the divine."
1023,Devisthan,"Devisthan is a significant Hindu religious site, primarily recognized for its collection of ancient temples dedicated to various deities. The site is nestled in the serene hills of Nepal, providing a spiritually uplifting atmosphere that attracts devotees and tourists alike. Devisthan's key features include intricate architectural designs, showcasing the rich cultural heritage of the region, and the peaceful coexistence of diverse deities, symbolizing unity in religious diversity. The site's significance lies in its historical and religious value, promoting a sense of community, harmony, and spiritual enlightenment."
1024,Devisthan yekasalla,"Devisthan Yekasalla is a revered Hindu temple located in the Kavrepalanchok district of Nepal. The temple is dedicated to Goddess Sati, one of the many forms of the divine feminine in Hinduism. The key feature of Devisthan Yekasalla is its unique architectural design, which combines pagoda-style and multi-tiered roof structures. The temple's significance lies in its cultural and religious importance to the local community, who gather here for annual festivals and daily prayers, seeking blessings and spiritual guidance."
1025,"Devisthan,(Place of Hindhu Godess Bhagwati) Dhulikhel","Devisthan, located in Dhulikhel, is a revered Hindu temple dedicated to Goddess Bhagwati. Surrounded by the serene beauty of the Himalayas, this temple is not only a spiritual retreat but also a significant cultural heritage site. The temple's key features include intricate carvings, a peaceful atmosphere, and panoramic views of the mountain ranges, making it a must-visit destination for both devotees and tourists seeking tranquility and cultural enrichment."
1026,Dewahi Gonahi Municipality,"Dewahi Gonahi Municipality is a local body in the Makwanpur district of Bagmati Province, Nepal. Established in 2017, it is one of the significant municipalities in the region, known for its rich cultural heritage, diverse topography, and vibrant community. The municipality encompasses various historical and religious sites, including the famous Budhanilkantha Temple, and is home to several ethnic communities, making it a culturally rich and diverse region. Moreover, Dewahi Gonahi Municipality is committed to sustainable development, focusing on education, health, infrastructure, and environmental conservation."
1027,Dewal (Ancient history ),"Dewal is an ancient historical site located in the present-day Swat Valley of Pakistan. It is believed to have been inhabited during the Iron Age and is known for its well-preserved Buddhist stupas and monasteries. The site is significant for its unique art and architectural style, which reflects the cultural exchange between the local Gandhara civilization and the Hellenistic world. Dewal provides valuable insights into the religious and artistic traditions of the region, making it an essential destination for scholars and history enthusiasts."
1028,Dewangunj Biratnagar tempo station,"Dewangunj Tempo Station in Biratnagar is a significant transportation hub that connects various parts of the city and its surrounding areas. This station is known for its high volume of tempo (three-wheeler) services, offering a convenient and affordable mode of transportation for both passengers and goods. The station's key features include a well-organized layout, a waiting area for passengers, and various amenities such as food stalls and shops, making it a bustling and vibrant center of local activity."
1029,Dewariya,"Dewaripya is a captivating and heartwarming Bollywood film that beautifully showcases the essence of pure love and friendship. Set in the picturesque landscapes of Benaras, the movie follows the life of a young rickshaw puller, Raju, who falls in love with a wealthy woman, Chandni. Despite their contrasting social status, their bond deepens through a series of events, highlighting the significance of love that transcends societal barriers. The film's soulful music, enchanting cinematography, and powerful performances make it a memorable and touching exploration of human emotions and relationships."
1031,"Dhada Gauu Masta Than (Temple) village ,Jajarkot","Dhada Gauu Masta Than village is located in the Jajarkot district of Nepal and is known for its significant temple, Dhada Gauu Masta Than. The temple is dedicated to Lord Shiva and is believed to be a powerful religious site, attracting devotees from far and wide. The village is situated amidst the serene beauty of the Himalayan mountains, providing a peaceful and spiritual environment for visitors. The temple's unique architecture and intricate carvings are notable features, making it an important cultural and historical landmark in the region."
1032,Dhade Khola,"Dhade Khola is a significant seasonal river in the Satara district of Maharashtra, India. Originating in the Sahyadri mountain ranges, it flows through the Koyna Wildlife Sanctuary, playing a crucial role in supporting the region's rich biodiversity. The river is known for its picturesque waterfalls and lush green surroundings, making it a popular spot for tourists and locals alike. Its seasonal fluctuations also contribute to the area's agricultural productivity, showcasing the interdependence of nature and human life."
1033,Dhade Khola Picnic Area Rest Camp,"Dhade Khola Picnic Area Rest Camp is a serene campground located along the tranquil Dhade Khola river in the Sahyadri mountain range of Maharashtra, India. Surrounded by lush greenery, cascading waterfalls, and natural swimming holes, this campground offers a perfect escape from the hustle and bustle of city life. Its key features include eco-friendly tents, stone cottages, and common facilities such as washrooms, a cafeteria, and ample space for recreational activities like bonfires, barbecues, and outdoor games. The rest camp's significance lies in its commitment to sustainable tourism"
1034,Dhading Gajuri Rakshing,"Dhading Gajuri Rakshing is a community forestry site located in the Dhading district of Nepal. Established in 1995, this forest covers an area of 2,323 hectares and is managed by a committee of local users. The forest is home to a diverse range of flora and fauna, including several endangered species, and provides crucial ecosystem services such as water regulation, soil conservation, and carbon sequestration. It also serves as an important source of livelihood for the local community, providing materials for construction, fuelwood, and non-timber forest products. The success of Dhading Gajuri Rakshing in sustainable forest management"
1035,Dhading masjid,"Dhading Masjid, located in the Dhading District of Nepal, is a significant religious site for the Muslim community. This masjid, or mosque, is known for its stunning architecture, blending traditional Islamic design with local Nepalese elements. The masjid serves as a place of worship, community gathering, and religious education, playing a vital role in preserving and promoting Islam in the region."
