id,name,description,address,latitude,longitude,location,types
1,Chapat Ganesh Mandir,"Chapat Ganesh Temple is Ganesh temple located at Chapat,Bagmati. Ganesh god is considered to possess the power of removing obstacles, curing diseases, helping in completing difficult tasks. He is worshiped before doing any special tasks for success and easily coms over endeavors. Tuesday is the special day to visit the Chapat Ganesh temple and beside this it is saturday. People don’t forget to bring god favourite offering like radish, ladoos and sesame seed balls.",,27.67131384,85.32896703,0,Temple
2,Mayadevi Temple,"Religious Site The Mayadevi temple is situated inside the Lumbini garden of Lumbini Development Zone. It is the heart of Lumbini and the Greater Lumbini Buddhist Circuit (GLBC). It is one of the most ancient temples and sacred sites in the Lumbini Garden where the archaeologists have recognized the exact spot where Lord Buddha was born and took his first seven steps.

People can see the different pieces of evidence associated with the birth of Lord Buddha inside and out of the temple.",,27.46964111,83.27578465,0,Temple
3,Sikali Mandir,"Religious Site Sikali Temple lies in the southern part of Kathmandu Valley at an approximate distance of 10 KM. The temple is located in an isolated place, outside of the main settlements, but the surrounding is heavenly.

Sikali Mai Temple is a huge Three-storey temple, where goddess Rudrayani is worshipped and is considered as the protector of the locals and localities.

It is also believed that once Sikhi Buddha had come and taught Dhamma for locals.",,27.64353532,85.28550217,0,Temple
5,Bala Guru Sadananda,"Bala Guru Sadananda's shrine at his Ashram in Dingla, Bhojpur Rudraksha, which has an important role in Hindu spirituality and wellness.","944P+RR2, shadaananada 57000, naepaala",27.3570005,87.1370185,shadaananada,temple
11,21st century art gallery,"21st Century Art Gallery, located in Kathmandu 44600, Nepal, is a renowned art gallery and museum known for its exceptional collection of artworks and the variety of experiences it offers to visitors. This family-run establishment, managed by two talented brothers, creates a welcoming atmosphere for art enthusiasts and tourists alike. The gallery is celebrated for its beautiful and versatile artworks, including stunning paintings of iconic Nepali landscapes like Annapurna, crafted by skilled artists Manoj, Pramod, and Gunjan. Visitors often praise the professionalism and care with which purchased artworks are handled and packaged, ensuring safe transport to international destinations. Situated in the vibrant Thamel area, it is a must-visit destination for anyone exploring Kathmandu, offering a glimpse into the finest artistry the city has to offer.","Kathmandu 44600, Nepal",27.715548,85.3094968,Nepal,museum
15,3D Art World - Interactive Museum,"The 3D Fun Art Museum is a unique and interactive attraction that blends art, imagination, and fun. Designed to engage visitors of all ages, the museum features an array of 3D paintings and optical illusions that create the illusion of depth and movement. Unlike traditional art galleries, the 3D Fun Art Museum invites you to step into the artwork, becoming an integral part of the scenes. Whether you’re dodging a dinosaur, walking a tightrope, or diving into an underwater world, the museum offers endless opportunities for creative photography and playful interaction.","M82R+PW2, mahaalakashamaii 44700, naepaala",27.6510185,85.3441141,mahaalakashamaii,museum
17,Nyatapola Temple,"Nyatapola Temple, located in Bhaktapur, Nepal, is a magnificent five-story pagoda-style temple and one of the tallest and most iconic temples in the country. Built in 1702 by King Bhupatindra Malla, it is dedicated to Siddhi Lakshmi, the tantric goddess embodying strength and protection. The temple's name, ""Nyatapola,"" translates to ""five stories,"" representing its towering structure, which stands on a massive five-tiered plinth. Each tier is guarded by pairs of intricately carved stone figures, starting with wrestlers and moving up to elephants, lions, griffins, and finally, goddesses, symbolizing increasing power. Nyatapola Temple showcases exceptional Newar craftsmanship and is a testament to the architectural and cultural heritage of Nepal. Its resilience, having survived multiple earthquakes, makes it a symbol of durability and artistic brilliance in the Kathmandu Valley.","Taumadhi Square, bhakatapaura 44800, naepaala",27.6710815,85.4293023,bhakatapaura,temple
18,50 kilo,"""50 Kilo"" in Nepal typically refers to a location in the Kavrepalanchok district, along the Arniko Highway. This area, named due to its distance of approximately 50 kilometers from Kathmandu, serves as a significant waypoint on the route connecting Kathmandu to the eastern parts of Nepal, including Sindhupalchok and Dolakha. Known for its picturesque surroundings and access to lush landscapes, 50 Kilo is a spot where travelers often stop for refreshments during long journeys. The area reflects Nepal's typical rural charm, surrounded by terraced fields and hills, offering a glimpse into the country's natural beauty and traditional way of life.","MM2C+RJW, aranaikao raajamaaraga, paaँchakhaala 45215, naepaala",27.652125,85.6715909,aranaikao raajamaaraga,historical_site
19,52 Bigha,"""52 Bigha"" is a notable area located in Birgunj, Nepal, within the Parsa district of Province 2. It is a large, open space spanning 52 bighas (a traditional land measurement unit) and holds historical, cultural, and recreational significance. Once used for various administrative and public purposes, the area has evolved into a vibrant hub for community activities, gatherings, and events. In recent years, the Nepalese government and local authorities have worked to develop 52 Bigha as a well-maintained park and recreational area, featuring greenery, walking paths, and spaces for leisure and exercise. Its central location in Birgunj makes it a popular spot for residents and visitors, offering a tranquil retreat in one of Nepal's bustling trade and border cities.","PWRV+GVX, janakapaura 45600, naepaala",26.7413518,85.9447239,janakapaura,park
20,55 window palace,"The 55-Window Palace, also known as ""Pachpanna Jhyale Durbar,"" is an iconic landmark located in Bhaktapur, Nepal. Constructed in the 15th century during the reign of King Yaksha Malla and later renovated by King Bhupatindra Malla in the 17th century, the palace is a masterpiece of Newar architecture. True to its name, it features 55 intricately carved wooden windows, each showcasing the exquisite craftsmanship of the era. The palace is part of the Bhaktapur Durbar Square, a UNESCO World Heritage Site, and served as the royal residence of the Malla kings. Its grandeur is enhanced by the ornate golden gate, or ""Sun Dhoka,"" at the entrance, which is adorned with detailed reliefs of Hindu deities. Today, the 55-Window Palace stands as a symbol of Nepal's rich cultural and architectural heritage, attracting visitors from around the world to admire its timeless beauty.",,27.672364,85.428281,0,palace
