id,name,description,Description_Length
5700,naepaala taraekainga kamapanaii paraa laimaitaeda,"naepaala taraekainga kamapanaii paraa laimaitaeda is a well-known location, located at Chhetrapati Chowk, pakanaajaola maaraga, kaathamaadaauà¤ 44600, naepaala. It is known for being a  trek. It offers a variety of experiences for visitors.",241
6324,tainachhaagae jharanaa sunkoshi Rural municipality 9 kakani Okhaldhunga,"tainachhaagae jharanaa sunkoshi Rural municipality 9 kakani Okhaldhunga is a well-known location, located at 89MQ+G2H, kataunyajae 56100, naepaala. It is known for being a  tourist_attraction. It offers a variety of experiences for visitors.",241
5302,kaalaiiganadakaii gaauà¤paalaikaa (kaarayaalaya) Kaligandaki Rural municipality,"kaalaiiganadakaii gaauà¤paalaikaa (kaarayaalaya) Kaligandaki Rural municipality is a well-known location, located at 2HX6+X8P, paurataighaata 32600, naepaala. It is known for being a  mosque. It offers a variety of experiences for visitors.",241
4358,"Tripura Sundari Rural Municipality, Office of the Municipal Executive","Tripura Sundari Rural Municipality, Office of the Municipal Executive is a well-known location, located at PWW7+Q4F, Unnamed Road, paisakara 45302, naepaala. It is known for being a  aquarium. It offers a variety of experiences for visitors.",241
3828,Laxmi Narayan Temple,"The Laxmi Narayan Temple in Balawa is a revered Hindu shrine dedicated to Lord Vishnu and his consort, Goddess Laxmi. Situated in the village of Balawa, this temple holds significant cultural and religious importance for the local community.",241
5201,itaihaasa hasatakalaa,"itaihaasa hasatakalaa is a well-known location, located at M8FF+JW6, bhainadayao kawa - saauga: laà¤, Lalitpur 44700, Nepal. It is known for being a museum, point_of_interest, establishment. It offers a variety of experiences for visitors.",240
4217,"Tharu Cultural Museum, Bardiya National Park, Thakurdwara","Tharu Cultural Museum, Bardiya National Park, Thakurdwara is a well-known location, located at F63V+28H, thaakauradadhaaraa 21800, naepaala. It offers a variety of experiences for visitors. Tharu Cultural Museum inside Bardiya National Park",240
1602,Himalayan Arts/Thangka Gallery,"A gallery specializing in Thangka art and other traditional Himalayan arts. Thangka paintings, which often depict religious themes, are a significant part of Tibetan and Himalayan culture, and this gallery may offer both displays and sales.",240
3807,Laxmi Narayan Temple,"The Laxmi Narayan Temple is a significant Hindu shrine located in the heart of Kathmandu Durbar Square, Nepal. Dedicated to Lord Vishnu and his consort Laxmi, the temple is renowned for its intricate architecture and rich cultural heritage.",240
715,Bulu Park,"Bulu Park, situated in Chapagaun, Lalitpur District, Nepal, is a well-known recreational area offering a variety of experiences for visitors. The park is open year-round, providing a serene environment for relaxation and leisure activities.",240
