id,name,address,latitude,longitude,rating,second_word,types,description
5720,Panch Pokhari,"JR5X+GH4, 56000, naepaala",27.6087669,86.8489579,4.7,56000, Natural Landmark,"Panch Pokhari is famous for a pilgrim s travel destination for Hindus and Buddhists. The word Panch Pokhari means five Lake in Nepali. The word ""Panch"" means number five and ""Pokhari"" means lake. It lies at the altitude of 4514m and located Ramechhap district, northeast of the Kathmandu valley. This holy lake is unfolded recently for trekking and offers a striking view of panch Pokhari along with an adventuresome and thrilling trail with very few trekkers except for August.

The place is extensively toured by the devotee during Janai Purnima which is a religiously significant festival and falls in August. Numerous pilgrims make their way there to commemorate Janaipurnima every year. The believer takes a dip in the holy water of Jatapokhari as it is believed that it fulfills one s wishes and clears the past sins. The next day they hike to Panch Pokhari where pilgrims take bath in the lake and worship god.  

Explore the unexceeded pristine natural beauty of Paanch Pokhari along with stunning Himalayan ranges."
3828,Dupcheshwor Mahadev Mandir,"X92V+6XW, shaikharabaesaii 44900, naepaala",27.950624,85.3949454,4.6,shaikharabaesaii, Religious Site,"Dupcheshwor Mahadev Mandir is a renowned Hindu temple located in Nepal, specifically in the Nuwakot district. The temple is dedicated to Lord Shiva, one of the principal deities in Hinduism. Situated on a hilltop, the temple offers stunning panoramic views of the surrounding landscape. It is believed to hold great religious significance among devotees, attracting pilgrims from various parts of Nepal and beyond. The architecture of the temple reflects traditional Nepali craftsmanship, characterized by intricate wood carvings and pagoda-style structures. Devotees visit the temple to seek blessings, perform rituals, and participate in religious ceremonies, especially during auspicious occasions such as Mahashivratri. Dupcheshwor Mahadev Mandir stands as a symbol of spiritual reverence and cultural heritage in the region."
22,Patan Museum,"M8FG + 944, Seat - Saig: Lan, Lalitpur 44700, NEPAL",27.6733773,85.3253361,4.6,Seho 6 - Saig: Lan,"tourist_attraction, museum, point_of_interest, establishment","Patan Museum is housed in a courtyard within the Northernmost building complex of the Durbar area. The most picturesque setting of the palace that has been created in so small a place by piety and pride  is known now to the people as Keshav Narayan Chowk after a temple standing at the center of the courtyard dedicated to Keshavnarayan- a form of Lord Vishnu.This part is recorded in the history as Chaukot Durbar or four-cornered-fort-palace.In an International Campaign by UNESCO for safeguarding the monuments of Kathmandu valley, the Austrian Government joined hands with Nepal Government to preserve Patan Darbar Square. The ensuing project began in 1982 with the repair of Keshav Narayan Chowk that led finally to the transformation of a teaching museum to dessimination of knowldge on Buddhism prevailed in Patan- city of Art and Architecture.This is the first public museum in Nepal that has been created as an autonomous institution of this type managed by its own Board of Directors. The museum has been acclaimed, by the visitors, as one of the finest museums in South Asia. The popularity is growing day after day and is economically self sustained now.The collaborative effort of Austrian Government with Nepalese counterpart did not only restore the historical palace to its original grandeuer but also created a Model Cultural Institution in Nepal."
138,Kamal Pokhari Park,"P86G+49X, Kamal Pokhari St, Kathmandu 44600, Nepal",27.7103591,85.3259695,4.4,Kamal Pokhari St,"park, point_of_interest, establishment","Kamal Pokhari is a beautiful pond located in the heart of Kathmandu, Nepal. It holds a rich history and is considered a significant landmark in the city. Let s explore the fascinating story behind Kamal Pokhari.
The origins of Kamal Pokhari date back to ancient times, but the exact details are uncertain. It is believed to have been built during the Licchavi era, which was a long time ago. Throughout the years, the pond has served various purposes and has been cherished by the people of Kathmandu."
3800,Tribeni Dham,"FW3J+874, Bardaghat Road, baradaghaata 33007, naepaala",27.4531837,83.9306269,4.2,Bardaghat Road, Religious Site,"Triveni Dham is a famous pilgrimage site in Nawalparasi at the confluence of three rivers; Narayani (Gandaki), Sona and Tamasa Rivers. This holy pilgrimage site is sacred as it is depicted in many holy books of Varaha, Himavat and the Skanda Puranas and mentioned in many plays and drama of Kalidas. He was a Classical Sanskrit Author and considered as ancient greatest playwright and dramatist. His plays and poetry are based on Vedas, Ramanayas, Mahabbharat and Purans. As legends say, Apsaras along with Gods and Goddess used to come from heaven to take bath at this holy river.

Just across the River, there is a famous Valmiki Ashram, where Adi Kavi Maharishi Valmiki who was thief earlier wrote Hindu Epic Book, Ramayana.  Valmiki Ashram is linked to Ramayana, where Sita was sent to exile by Rama and her two sons Lava and Kusha were born. This is also the same place where Sita returned to her mother earth and now famous as Sita Patal Temple.  She is the daughter of Vumi (Earth) and adopted by King Janaka of Janakpur, Mithila Kingdom."
406,Central Zoo,"Jawalakhel Rd, Lalitpur 44600, Nepal",27.672704,85.3118294,4.0,Lalitpur,"zoo, point_of_interest, establishment","In 1995, Government of Nepal entrusted the management of Nepal s Central Zoo, the only zoo in Nepal, located at Jawalakhel in the Kathmandu Valley to NTNC for 30 years. Established as a private zoo in 1932 by the late Rana Prime Minister Juddha Samsher, it came under the ownership of Government of Nepal after the political changes of 1950 and remained under the management of various government departments before it s management was handed over to NTNC on the occasion of the Golden Jubilee Birthday Celebration of the Late Majesty King Birendra Bir Bikram Shah in December 1995.
The Trust aims to develop the Central Zoo as a center for ex-situ wildlife research and conservation education. The Central Zoo, with an area of about 6 ha., provides shelter to a total of 942 individual mammal, bird, fish and reptile of 127 species. It also serves as recreational center for the visitors. Central Zoo uniquely serves as a historical cultural site for diverse groups of people.
Over one million visitors come to enjoy the displays at the Central Zoo annually. The main source of income has been the revenue collected from the entry ticket sales. With an aim of generating public awareness and participation in nature and wildlife conservation, the Central Zoo has been successfully running a special membership based program called the  Friends of Zoo  (FOZ) with a network of schools in Kathmandu Valley. The animal management unit is improving and enriching the enclosures to provide better habitats for the zoo animals and are now in a better situation with the operation of a recently established  Animal Hospital . New displays, of national and international species, are often added in order to educate and to introduce the visitors to the different wild species from within the country and abroad. Increasingly the Central Zoo s role in wildlife rescue, release and rehabilitation is being recognized as an indispensible role for enhancing the wildlife national responsiveness capacity of the country, especially with growing incidents related to problem animal management, animal emergency, animal shelter and refuge, disease among others."
6109,Mangal Dharmadweep Mahavihar (Jhaur Bahi),,27.6723637,85.4330929,0.0,,Heritage Site,"Mangal Dharmadweep Mahavihar, which is located in Bhaktapur’s Golmadhi tole, is also known as Jhaur Bahi. In this Vihar, one of the five Dipankar Buddhas can be found.
Mangal Dharmadweep Mahavihar (Jhaur Bahi)
The Pauva arts are displayed here at Gunhi Punhi. This Vihar was constructed in the 13th century. Later, Jibtaj Bajraacharya’s descendants from Tadhichhen Baha renovated it (Tadhuchhen Bahal).
This Bahi, like the others, has a rectangular courtyard with modest chaityas. It also features the artwork of many Buddhas on its walls. Normally, the passage is less congested. During Samyak Mahadan, Pnchadan, and Gunla Parva, however, the site is packed with worshipers."
6110,Thupten Monastery ,,27.60616007,86.54928211,0.0,, Religious Site,"Thupten Choling Monastery is the well-known lama Trulsik Rinpoche fled from Rongbuk Gompa in Tibet to the Khumbu region during the Chinese invasion of Tibet in 1959, followed by a significant group of followers, including anis (nuns) and monks. He spent several years residing at Chiwong and other monasteries while aspiring to return to Tibet. Finally, in 1968, Rinpoche constructed Thupten Choling on donated property close to Junbesi. The monastery needed to be carefully constructed because it started to fall apart in the 1990s. After everything, he saw the location as a temporary retreat and continued to assume that he and his followers would be able to return to the homeland. However, when Chinese dominance over Tibet grew stronger and Buddhist leaders were forbidden from leaving, Rinpoche decided to establish a permanent residence at Thupten Choling in 2001.
The demolition of the ancient structures and ceremonial preparation for the new foundation marked the beginning of Thupten Choling's reconstruction. The friends of Trulsik Rinpoche provided generous financial support from Switzerland to help construct the new monastery, which Michael Schmitz planned. Mr. Schmitz and Helen Cawley, including the architecture, supply chains, and medical services, have overseen all aspects of the project. The rebuilding of the Thupten Choling monastery officially began in the year 2001.
Currently, several hundred Buddhist nuns and monks (80% of them being Tibetan refugees) live in the Thupten Choling monastery. As dozens of newcomers join the monasteries community each year, the population of the monastery only flourishes day by day.
However, the massive earthquake in April 2015 wrecked the beautiful infrastructure. This disaster caused severe damage to the ancient structures. During the rainy seasons, the monastery residents were compelled to live in tents because some of the walls had cracks in them.
The monks had requested financial assistance from Western organizations. The monastery has recently undergone a lot of necessary repairs and modernization, using solar energy for power consumption, electric cooktops for using it in the kitchen, etc."
6111,Bhadrakali Temple,,27.69927663,85.31685485,0.0,, Religious Site,"Bhadrakali Temple in Kathmandu
Bhadrakali is one of the powerful goddess of Nepal. Located near the Sahid Gate at the eastern side of Tudikhel is the temple of Bhadrakali. Also known as Shree Lumadhi Bhadrakali, the temple is considered as one of the most renowned  Shaktipith  of Nepal. A form of Goddess Kali, Bhadrakali in Sanskrit means  blessed, auspicious, beautiful and prosperous  and she is also known as  Gentle Kali . Another mane for the goddess is Lazzapith.The ancient writings in the Vayu Purana and Mahabharat explain the creation of Bhdrakali by Devi s wrath when Daksha insulted Lord Shiva during the great Ashvamedha Yagya (Horse Sacrifice). Tantra Rahasya mentions her rising from the north face of Lord Shiva, (Uttaramnaya Amnayas) which is blue in color and has three eyes.

She is often believed to take on a terrible aspect that is represented with three eyes and four, twelve or eighteen hands carrying a number of weapons with flames flowing from her head and a small tusk sticking out from her mouth.

According to the myths, a farmer used to plough some nearby land and kept his food (bread) on the side. The bread used to turn into gold so the temple got its name as Lumarhi/Lumdi Devi s temple as Lumdi in Newari means  golden bread .
It was built in the year 1817 and was previously known as  Mudule Thumpko . The temple is believed to be built after Goddess Bhadrakali told the priest to dig the hill where they found the statue of the goddess. Since then, the temple lies there and is protected by Nepal Army. It overlooks the Singha Durbar, Prime Ministerial office, on the eastern side.

According to another legend, a tantric practitioner named Saswat Bajra went to Kamaru Kamachya in India and worshipped Shri Bhadrakali. The goddess was happy with him and came to Nepal with him in a holy water pot (a Kalash). He went to run some errands hanging it on a tree at Jamal on the northern side of Rani Pokhari. But Kalika took the form of a small girl and walked away. A farmer met her on his way to the field and questioned her but she fell asleep at the same spot and he went away. He could not find her when he returned but saw Kalika s incarnation instead. Then, Saswat Bajra also saw the goddess and the place was established as the temple of Bhadrakali.

King Ratna Malla started the Astamatrika and Bhadrakali dance together which takes place every twelve years. Also on April 10th, there is a Bhairav Bhadrakali Jatra every year. People come to the temple with the hope of getting their wishes fulfilled. Often marriage ceremonies take place here and also the families sometimes use it as the picnic spot. Maximum number of devotees throngs to temple during Dashain and Ghode Jatra.

Amidst the chaos of the center of the Kathmandu city, one can definitely experience peace of mind at the courtyard of Bhadrakali temple."
6112,Dipankar Mahavihar,,27.6748852,85.4337626,0.0,,Heritage Site,"Located inside a barely walked alley between Kwathandou and Bekhal, Dipankar Mahavihar is the home of one of the Dipankar Buddhas of Bhaktapur. He is supposed as the main Dipankar Buddha, thus after him, the vihar is named.
The statue of Dipakhar Buddha at Dipankar Mahavihar
As per the available scriptures, it was built in N.S. 750. And, fortunately, it is still in good condition, able to perform daily worshipping rituals and participate in Panchadan and Samyak Dan like holy events.
Beside Dipankar Buddha, there stands a statue of Mahankal, Manjushree, Ganesh and Shiva-Parvati, in this Mahavihar tagging the Red Tara. Some folk legends mention that Tara used to speak and was kept inside the bar while she was trying to leave the place.
That is why many Tibetans and people from the Himalayan regions often pay a visit to this place.
The temple of Red Tara at the premises of Dipankar Mahavihar
The Mahavihar, however, is also come to know as the home of Kumari of Bhaktapur. Each year, during Dashain, the living goddess Kumari resides here for 15 days.
Although, there is not much movement in the area, when you cross upon that road, a fragrance of incense steal away your attention. There is peace in the air.
While analyzing the spiritual values of that Mahavihar, one cannot just ignore the architectural form. The combination of the temple and local residents seems quite distinct yet attractive. The struts are as beautiful as the other wooden pieces of Bhaktapur. They are well carved and presented.
Dipankar Mahavihar
Likewise, there are Dharmadhatu Chaitya, Bajradhatu Chaitya, Khamba Chaitya, Gaju Chaitya, a hymning place (Sattal) with some fascinating paintings and a stone conduit on its premises. It’s a place worth visiting although the presence of local residents make you feel quite awkward, at first.
Chaityas and Sattal at Dipankar Mahavihar"
6113,Kasthamandapa,,27.70391011,85.30588897,0.0,, Historical Ruins,"This architectural marvel of Nepal, locally known as Maru Sattal, built in pagoda-style architecture and believed to be made out of a single tree, collapsed during the 2015 earthquake. The initial attempts at its reconstruction were put off due to protests from public and conservationists demanding originality. The rebuilding has now kicked off and will certainly be completed by 2021.

It is believed that Kathmandu got its name from Kasthamandapa, which may have been built in the 7th century, the oldest temple built in the Lichhavi period - proving its historical significance"
6114,Jayakriti Mahavihar (Thathu Bahi),,27.6728031,85.4218875,0.0,,Heritage Site,"Jayakriti Mahavihar, also known as Thatu Bahi is one of the most prominent vihars of Bhaktapur. Each year, Samyak Panchadan like-substantial event takes place over there.
It is located at Itachhen, on the western arena of the Na: Pukhu (Guhyepokhari of Bhaktapur). A two-storeyed building made out of a traditional Nepalese style (currently functioning as a Shree Gyan Bijaya Primary School) is also the house of one of the Dipankar Buddhas of Bhaktapur.
There is a beautiful courtyard inside the building where one can find small chaityas and stupa along with exquisite wood’s working and the image of Padmapani Lokeshwora, the central deity of the Bahi.
The vihar is placed in the highland, that’s why it is called thatu Bahi.
The vihar, as mentioned in the inscriptions and scriptures ascertains that it is way older than other vihars. The presence of two Chaityas and a gate with Panchabuddha summarises that it was made in the Lichhavi era.
There is even some chatter saying Na: Pukhu was later made on the land of Thathu Bahi.
It is said that the vihar was also renovated by King Jitamitra Malla and Ugra Malla after Jaya Ratna Bajracharya, who was a member of Chatur Varna Mahavihar.
The mentioned date when Jaya Ratna Bajracharya renovated it was N.S.794 and only after that, the Thatu Bahi was started to call Jayakriti Mahavihar. Moreover, it still seems to be in a good condition."
6115,Chuma Ganesha Temple,,27.674545,85.430603,0.0,,Heritage Site,"The uniqueness of this city never disappoints you especially when it comes to the name of places and temples. The Chuma Ganesha temple, designated as the very first Ganesh temple of Bhaktapur somehow, too falls in such fanciful legends and in weird naming.
Being located in Chochhen tole of Bhaktapur made it geographically the temple situated in the upper part of the Bhaktapur Nagara. It is said that Chochhen originally came up after the term Choye Chongu Chhen which means the house of the upper part.
Chuma Ganesh temple, on the other hand also has its own legendary story. Even the origin of its name has a story. It is said that the rats of that area beyond their nature scared the cats. And when someone tries to investigate the matter, they found out the image of Lord Ganesh.
Chuma Ganesha
Legends say that the name Chuma is derived from the term Chu and Ma which respectively means the rat and line. Thus, assuming Lord Ganesha worshipped by the large line of mice, the name of the temple began to be called Chuma Ganesha.
However, there is one more story that is slightly different from the aforementioned yet the core story of being rats powerful is the same. As per the story, when the king saw a fight between cat and rat and saw cat losing into the rat. He got amazed and follow the rat. There he found the Chuma Ganesh.
After being blessed by him, he was also told that there is Bhadrakali in the south of the area. And he should go there and worship her. The king as ordered went there and worship her. Being pleased by the king, she then gave him instruction to build a nagara in between these two areas; Chuma Ganesha and Bhadrakali temple.
Next, the king establishes the Bhaktapur Nagar along with the first Ganesh temple, Astamatrikas and Astabhairavas.
Besides, the architecture of the temple is likewise quite unique. Although it is a pagoda-style temple, its false tire has multiple layers like design which indeed is unique and satisfactory for the eyes.
Chuma Ganesha Temple"
6116,Dahare Deurali,,28.14842708,83.74361889,0.0,, Religious Site,"It is one of the greatest religious temple of Parbat district of Nepal.It is presumed that devi vagwati one had lived in this place and did Puja and meditation.Dahare deurali is at 2266 m height from sea level. From this place,two famous mountain of Nepal: Dhaulagari and Annapurna is seen.Not only mountains all the district is seen from this place.Still 3-4 saints live here and conduct Puja and meditation every day.According to local people many of the divine saints are believed to live here.The weather always remains extreme here.Always strong wind blows here will the touch of god.You will feel some divine power in Dahare deurali."
6117,Bote Bora Pvt ltd ,,27.69651605,84.4169013,0.0,, Tourist Attraction,"""Bote Bora offers a Speed jet boat journey for the whole family, from 5 to 93 (and up!). We promise an exhilarating ride of spins, squeals and peals of laughter with the odd splash of pure white water spin. And there's nothing wrong with getting a bit wet when you're having this much fun!"""
6419,Shree Bhairabi Temple,,27.91255368,85.16364137,0.0,, Religious Site,"Shree Bhairabi Temple, situated in Nuwakot, Nepal, is a revered Hindu shrine dedicated to Goddess Bhairabi, a manifestation of the powerful goddess Shakti. Perched atop a hill, the temple commands stunning views of the surrounding valley and mountains. It is a significant pilgrimage site for devotees who come to pay homage and seek blessings from the goddess, particularly during festivals like Navaratri. The temple s architecture showcases traditional Nepali design elements, featuring intricate wood carvings and pagoda-style roofs. Its serene ambiance and religious significance attract visitors seeking spiritual solace and cultural immersion in the rich heritage of Nepal."
