ID,Name,Description,Province,Tags
1,Chapat Ganesh Mandir,chapat ganesh temple is ganesh temple located at chapatbagmati ganesh god is considered to possess the power of removing obstacle curing disease helping in completing difficult task he is worshiped before doing any special task for success and easily coms over endeavor tuesday is the special day to visit the chapat ganesh temple and beside this it is saturday people don ’ t forget to bring god favourite offering like radish ladoos and sesame seed ball,Bagmati Province,"hindu, temple, pilgrimage"
2,Mayadevi Temple,religious site the mayadevi temple is situated inside the lumbini garden of lumbini development zone it is the heart of lumbini and the greater lumbini buddhist circuit glbc it is one of the most ancient temple and sacred site in the lumbini garden where the archaeologist have recognized the exact spot where lord buddha wa born and took his first seven step people can see the different piece of evidence associated with the birth of lord buddha inside and out of the temple,Lumbini Province,"buddhist, pilgrimage"
3,Sikali Mandir,religious site sikali temple lie in the southern part of kathmandu valley at an approximate distance of 10 km the temple is located in an isolated place outside of the main settlement but the surrounding is heavenly sikali mai temple is a huge threestorey temple where goddess rudrayani is worshipped and is considered a the protector of the local and locality it is also believed that once sikhi buddha had come and taught dhamma for local,Bagmati Province,"hindu, temple, cultural"
4,Bala Guru Sadananda,bala guru sadanandas shrine at his ashram in dingla bhojpur rudraksha which ha an important role in hindu spirituality and wellness,Koshi Province,"historical, monument"
5,21st Century Art Gallery,21st century art gallery located in kathmandu 44600 nepal is a renowned art gallery and museum known for it exceptional collection of artwork and the variety of experience it offer to visitor this familyrun establishment managed by two talented brother creates a welcoming atmosphere for art enthusiast and tourist alike the gallery is celebrated for it beautiful and versatile artwork including stunning painting of iconic nepali landscape like annapurna crafted by skilled artist manoj pramod and gunjan visitor often praise the professionalism and care with which purchased artwork are handled and packaged ensuring safe transport to international destination situated in the vibrant thamel area it is a mustvisit destination for anyone exploring kathmandu offering a glimpse into the finest artistry the city ha to offer,Bagmati Province,"art_gallery, museum, cultural"
6,3D Art World - Interactive Museum,the 3d fun art museum is a unique and interactive attraction that blend art imagination and fun designed to engage visitor of all age the museum feature an array of 3d painting and optical illusion that create the illusion of depth and movement unlike traditional art gallery the 3d fun art museum invite you to step into the artwork becoming an integral part of the scene whether you ’ re dodging a dinosaur walking a tightrope or diving into an underwater world the museum offer endless opportunity for creative photography and playful interaction,Bagmati Province,museum
7,Nyatapola Temple,nyatapola temple located in bhaktapur nepal is a magnificent fivestory pagodastyle temple and one of the tallest and most iconic temple in the country built in 1702 by king bhupatindra malla it is dedicated to siddhi lakshmi the tantric goddess embodying strength and protection the temple name nyatapola translates to five story representing it towering structure which stand on a massive fivetiered plinth each tier is guarded by pair of intricately carved stone figure starting with wrestler and moving up to elephant lion griffin and finally goddess symbolizing increasing power nyatapola temple showcase exceptional newar craftsmanship and is a testament to the architectural and cultural heritage of nepal it resilience having survived multiple earthquake make it a symbol of durability and artistic brilliance in the kathmandu valley,Bagmati Province,"hindu, historical, cultural"
8,50 Kilo,50 kilo in nepal typically refers to a location in the kavrepalanchok district along the arniko highway this area named due to it distance of approximately 50 kilometer from kathmandu serf a a significant waypoint on the route connecting kathmandu to the eastern part of nepal including sindhupalchok and dolakha known for it picturesque surroundings and access to lush landscape 50 kilo is a spot where traveler often stop for refreshment during long journey the area reflects nepal typical rural charm surrounded by terraced field and hill offering a glimpse into the country natural beauty and traditional way of life,Bagmati Province,"natural beauty, landmark"
9,52 Bigha,52 bigha is a notable area located in birgunj nepal within the parsa district of province 2 it is a large open space spanning 52 bighas a traditional land measurement unit and hold historical cultural and recreational significance once used for various administrative and public purpose the area ha evolved into a vibrant hub for community activity gathering and event in recent year the nepalese government and local authority have worked to develop 52 bigha a a wellmaintained park and recreational area featuring greenery walking path and space for leisure and exercise it central location in birgunj make it a popular spot for resident and visitor offering a tranquil retreat in one of nepal bustling trade and border city,Madhesh Province,"historical, landmark"
14,Adventure Art Gallery,adventure art gallery is an art gallery that likely combine the theme of adventure and exploration with the artistic expression of local and international artist located in nepal a country renowned for it majestic mountain and diverse landscape adventure art gallery may feature artwork that capture the spirit of adventure nature and culture the gallery could showcase a range of art form including painting photography sculpture and other medium that reflect the beauty and challenge of the natural world particularly the rugged terrain of the himalaya a well a the rich cultural heritage of nepal in addition to exhibiting art adventure art gallery may also serve a a space for cultural exchange workshop and event where artist and visitor can engage in discussion on creativity and exploration the gallery connection to the theme of adventure may inspire art that push boundary challenge perspective and celebrates the thrill of discovery both in the physical world and the world of artistic expression,Bagmati Province,"art_gallery, museum"
17,AS Handicrafts & Art Gallery,a handicraft art gallery is a place in nepal that showcase a wide variety of traditional and contemporary nepali handicraft and artwork the gallery offer visitor a chance to explore the rich cultural heritage of nepal through item such a handcarved woodwork pottery textile and intricate painting it also feature various form of local art including painting and sculpture that reflect nepal diverse tradition and natural beauty the gallery is not only a space for showcasing these work but also serf a a venue for artist to present their creation contributing to the preservation and promotion of nepali craftsmanship visitor can purchase unique piece of art and handicraft making it a popular spot for both local and tourist looking to take home a piece of nepali culture,Bagmati Province,"art_gallery,cultural,museum"
18,Auri Bazar,auri bazar is a popular market located in nepal known for it vibrant atmosphere and variety of good it is often a hub for local commerce offering a range of product from everyday essential to traditional nepali item the bazaar typically feature shop selling clothing jewelry household good food and handicraft making it a lively spot for both local and tourist the market also provides an authentic experience of nepalese culture with it bustling street colorful stall and friendly interaction between vendor and shopper auri bazar serf a a reflection of nepal rich heritage and is a place where visitor can find unique souvenir try local food and immerse themselves in the local way of life,Lumbini Province,"historical,cultural,tourist spot"
19,Aadeshwar Mahadev Temple,the ancient adeshwar mahadev temple is a revered religious site located in ichangu within the nagarjun municipality of kathmandu district nepal perched on a hill the temple is situated a short distance from the main road of ichangu offering a peaceful and spiritual atmosphere for visitor dedicated to lord shiva also known a mahadev the temple is an important pilgrimage site for hindu especially for those seeking blessing and spiritual solace the temple ’ s location on the hill provides a serene environment surrounded by nature making it an ideal place for meditation prayer and reflection it hold historical significance being an ancient temple that ha witnessed century of religious practice local devotee visit the adeshwar mahadev temple regularly particularly during festival such a maha shivaratri to offer prayer and perform ritual the temple simple yet spiritual setting attracts both local and tourist who are interested in experiencing nepal religious heritage,Bagmati Province,"hindu_temple,pilgrimage,historical beauty"
22,Aaidungra,aaidungra parashuram is a location in nepal specifically in parashuram municipality 08 which is situated in the far western region of the country this area is part of the bajura district known for it rural landscape traditional lifestyle and cultural heritage parashuram municipality includes several village and is recognized for it natural beauty including hill river and agricultural field making it an attractive area for those interested in rural tourism or nature exploration the community in aaidungra parashuram primarily engages in agriculture with local festival custom and daily activity reflecting the rich cultural tradition of the region though less frequented by international tourist the area hold significance for local resident and people from nearby town who visit for religious and cultural purpose,Sudurpashchim Province,"tourist attraction,natural beauty,hiking spot"
25,Aane Kuwa,aane kuwa is a wellknown water source located along the khandbari bahrabise road in the dhaupau area with a postal code of 56900 in nepal the term aane kuwa typically refers to a traditional well or water source that is important for local community especially in rural area these type of well are vital for providing fresh water to household and are often a central part of daily life in many nepali village while specific detail about this particular location may not be widely available it is likely that aane kuwa serf a a local water supply for people living in the dhaupau area and surrounding region the well might be part of the community infrastructure serving the need of resident for drinking irrigation and other essential waterrelated task given it location along the khandbari bahrabise road aane kuwa could also be a notable spot for traveler passing through the region offering a glimpse of local life and the importance of water source in rural nepalese community,Koshi Province,amusement_park
26,Ankawa Dam,ankawa dam is a notable location in nepal though specific detail about it may not be widely available in mainstream source generally dam like ankawa dam play important role in water management agriculture and local infrastructure dam in nepal are often used for purpose such a irrigation flood control and providing a water source for community if ankawa dam is located in a rural or remote area it could be significant for the local population in providing water for irrigation and other us additionally such site often attract visitor who are interested in exploring nepal natural landscape and understanding the country water management system for more precise and detailed information especially if you are referring to a specific ankawa dam it might be best to check with local source or government record regarding water project in the region,Madhesh Province,"dam, natural beauty, trekking"
