id,name,description
1,"	Chapat Ganesh Mandir","Chapat Ganesh Temple is Ganesh temple located at Chapat,Bagmati. Ganesh god is considered to possess the power of removing obstacles, curing diseases, helping in completing difficult tasks. He is worshiped  before doing any special tasks for success and easily coms over endeavors. Tuesday is the special day to visit the Chapat Ganesh temple and beside this it is saturday. People don’t forget to bring god favourite offering like radish, ladoos and sesame seed balls."
2, Mayadevi Temple,"Religious Site The Mayadevi temple is situated inside the Lumbini garden of Lumbini Development Zone. It is the heart of Lumbini and the Greater Lumbini Buddhist Circuit (GLBC). It is one of the most ancient temples and sacred sites in the Lumbini Garden where the archaeologists have recognized the exact spot where Lord Buddha was born and took his first seven steps.

People can see the different pieces of evidence associated with the birth of Lord Buddha inside and out of the temple."
3, Sikali Mandir,"Religious Site Sikali Temple lies in the southern part of Kathmandu Valley at an approximate distance of 10 KM. The temple is located in an isolated place, outside of the main settlements, but the surrounding is heavenly.

Sikali Mai Temple is a huge Three-storey temple, where goddess Rudrayani is worshipped and is considered as the protector of the locals and localities.

It is also believed that once Sikhi Buddha had come and taught Dhamma for locals."
,,
5,"
Bala Guru Shadananda","Bala Guru Sadananda's shrine at his Ashram in Dingla, Bhojpur Rudraksha, which has an important role in Hindu spirituality and wellness."
,,
,,
,,
,,
,,
11,21st century art gallery,"21st Century Art Gallery, located in Kathmandu 44600, Nepal, is a renowned art gallery and museum known for its exceptional collection of artworks and the variety of experiences it offers to visitors. This family-run establishment, managed by two talented brothers, creates a welcoming atmosphere for art enthusiasts and tourists alike. The gallery is celebrated for its beautiful and versatile artworks, including stunning paintings of iconic Nepali landscapes like Annapurna, crafted by skilled artists Manoj, Pramod, and Gunjan. Visitors often praise the professionalism and care with which purchased artworks are handled and packaged, ensuring safe transport to international destinations. Situated in the vibrant Thamel area, it is a must-visit destination for anyone exploring Kathmandu, offering a glimpse into the finest artistry the city has to offer."
,,
,,
,,
15,3D Art World - Interactive Museum,"The 3D Fun Art Museum is a unique and interactive attraction that blends art, imagination, and fun. Designed to engage visitors of all ages, the museum features an array of 3D paintings and optical illusions that create the illusion of depth and movement. Unlike traditional art galleries, the 3D Fun Art Museum invites you to step into the artwork, becoming an integral part of the scenes. Whether you’re dodging a dinosaur, walking a tightrope, or diving into an underwater world, the museum offers endless opportunities for creative photography and playful interaction."
16,4 Brothers Khet,"4 Brothers Khet is a well-known location, located at MH6M+33, panasaeraa 56400, naepaala. It is known for being a  museum. It offers a variety of experiences for visitors."
17,5 storey temple,"5 storey temple is a well-known location, located at Taumadhi Square, bhakatapaura 44800, naepaala. It is known for being a  monument. It offers a variety of experiences for visitors."
18,50 kilo,"50 kilo is a well-known location, located at MM2C+RJW, aranaikao raajamaaraga, paaà¤chakhaala 45215, naepaala. It is known for being a  historic_site. It offers a variety of experiences for visitors."
19,52 Bigha,"52 Bigha is a well-known location, located at PWRV+GVX, janakapaura 45600, naepaala. It is known for being a  historic_site. It offers a variety of experiences for visitors."
20,55 window palace,"Heritage Site Right behind a golden masterpiece, the golden gate, you can find another majestic masterpiece. Of course within the durbar square.  That master of the art is no other than 55 windowed palaces.
There, local persons also call these 55 windowed palaces, pachpannajhyale durbar. And in newari term nge nyapa jhya laaykoo. Consequently, this artistic fact holds back history from about 1427 AD. Before King Bhupatindra Malla remodelled it in the 17th century.
After succeeding originally constructed by king Yaksa Malla. Yes, this is also a fact. That it was just a building then when king Yaksha Malla concreted it.
A brief history of 55 window palace
Later on, when King Bhupatindra Malla became the emperor of Bhaktapur in 1696, he started the reconstruction of this palace. But, it is said that it took a time of 58 years to complete.
The palace was finally set during the reign of King Ranjit Malla in 1754 AD.  King Ranjit Malla, the son of King Bhupatindra Malla also contributed a lot to this palace. Unbearably, the tear downing earthquake of 1934 AD demolished the palace.
Despite that, the palace was remodelled, using the same windows and struts. But it was not in its usual shape. The palace once was also operated as the post office in Bhaktapur.
55 windowed palace as Bhaktapur city post office.
Whatâ€™s inside the 55 window palace?
Meanwhile, one can observe the preeminent illustration of wood carvings of the Malla periods in this building. That somehow seems more attractive with black colouring. As you can observe, the first and second stories of the palace had a perfect reflection of wood carving.
The first story has doors alternating with small wood carved windows. And the second one is blessed with eleven deep carved windows in the front part. With a slanting torona over it.
You can notice the carvings of asta bhairava with his shakti. Also, the carved sculptures of Lord Ganesha and Lord Kumar in those toronas.
Besides, the walls of the first floor utter a lot about the then ruling environment. Images, that reflect the social as well as the royal lifestyles of Malla kings. That includes the wall painting of King Bhupatindra Malla himself and queen vishwo Laxmi.
Along with that, there are images of the vishwo rupa of lord bhairava with his shakti. The battleground of Ramayan. Drawings of different deities and many more. While the interior part of this palace is closed for so many years.
You may not able to see those paintings. But, roaming around this palace wonâ€™t be a waste. You still can explore wood carvings and ancient architecture."
21,60 SATHI MURII,"60 SATHI MURII is a well-known location, located at 6PVP+56P, maijhaiinga 22100, naepaala. It is known for being a  park. It offers a variety of experiences for visitors."
22,7thist Church,"7thist Church is a well-known location, located at WW6P+2G, iilaama 57300, naepaala. It is known for being a  church. It offers a variety of experiences for visitors."
23,A P MOUNT FRAMING GALLERY,"A P MOUNT FRAMING GALLERY is a well-known location, located at H3MM+4QW, kapailawasatau 32800, naepaala. It is known for being a  art_gallery. It offers a variety of experiences for visitors."
24,A.G Stuti Church,"A.G Stuti Church is a well-known location, located at RGRR+RW6, Darchula - Tinkar Rd, maohataii 10100, naepaala. It is known for being a  church. It offers a variety of experiences for visitors."
25,A.L Aquarium and sounds,"A.L Aquarium and sounds is a well-known location, located at bhakatapaura 44800, naepaala. It is known for being a  aquarium. It offers a variety of experiences for visitors."
